DATES,rEER
200511,82.48277271
200512,79.6389616
200601,79.43249051
200602,83.95988653
200603,84.53585252
200604,84.55190168
200605,80.88467813
200606,79.01033111
200607,81.53034189
200608,81.37303729
200609,81.28203249
200610,82.4185237
200611,81.16026357
200612,80.60019076
200701,81.83183411
200702,83.37594092
200703,83.30933737
200704,84.61183845
200705,86.31857675
200706,90.83590814
200707,89.80172698
200708,86.340033
200709,88.1964822
200710,91.61732242
200711,91.61301215
200712,91.33535699
200801,91.60127203
200802,93.50187843
200803,92.6442348
200804,93.23343767
200805,95.39749228
200806,97.55573241
200807,98.46048162
200808,99.10064747
200809,90.99347466
200810,79.40616964
200811,78.69150511
200812,73.88318126
200901,77.39705734
200902,79.19329322
200903,79.53768382
200904,82.43166098
200905,86.69708988
200906,89.79831835
200907,90.79965178
200908,94.54944461
200909,94.94479574
200910,98.2543259
200911,98.50293127
200912,97.80608245
201001,97.40742864
201002,95.41404099
201003,98.54509293
201004,100.4628673
201005,99.79007085
201006,100.7522223
201007,102.9349726
201008,100.0830763
201009,99.50487575
201010,101.9310719
201011,100.5661652
201012,102.6081152
201101,104.0553619
201102,104.11813
201103,104.130024
201104,107.4220274
201105,105.9149978
201106,107.0445865
201107,108.0385596
201108,105.9390906
201109,98.84448724
201110,98.04552089
201111,98.00209169
201112,96.62565656
201201,99.28831686
201202,102.4098364
201203,98.37020682
201204,95.41608865
201205,90.41303679
201206,88.61939498
201207,89.57266502
201208,89.01976656
201209,88.3560895
201210,88.26590771
201211,87.44850816
201212,86.95310243
201301,89.46080006
201302,92.69516803
201303,93.58073665
201304,92.84310468
201305,91.73674307
201306,86.1175293
201307,83.29509089
201308,79.95545162
201309,82.3841641
201310,81.9875832
201311,82.16007533
201312,80.89778331
201401,80.83976067
201402,81.69071675
201403,83.84210689
201404,87.34761652
201405,87.78920585
201406,87.48974431
201407,87.7789024
201408,86.72024591
201409,85.76876899
201410,82.67885874
201411,83.86932618
201412,79.28764786
201501,81.88111255
201502,77.90065833
201503,71.64415985
201504,73.97003882
201505,73.11123623
201506,72.57667392
201507,71.08332535
201508,66.00600447
201509,59.95162335
201510,60.4410894
201511,63.46032366
201512,63.47781117
201601,62.74837015
201602,64.2036827
201603,67.99017742
201604,69.69484207
201605,70.87244787
201606,72.7831337
201607,77.24249829
201608,78.53253686
201609,77.5430002
201610,79.83743534
201611,77.12848101
201612,77.96233511
201701,81.52088988
201702,83.27600406
201703,82.35252212
201704,81.47656583
201705,79.36412231
201706,76.52216288
201707,78.50408233
201708,78.99923185
201709,78.61550689
201710,78.22653904
201711,76.65599431
201712,75.58760555
201801,76.48779892
201802,75.39414443
201803,74.72607231
201804,71.76908145
201805,69.51759924
201806,68.83390791
201807,68.56267307
201808,67.50477048
201809,65.749274
201810,72.12880064
201811,71.4412612
201812,69.67504659
201901,71.81294259
201902,72.19633314
201903,70.49114562
201904,69.95742886
201905,68.76017715
201906,70.69107761
201907,71.79577846
201908,69.39952828
201909,67.89820627
201910,68.17449645
201911,66.98472977
201912,68.0174979
202001,66.95704913
202002,64.78180404
202003,58.50102265
202004,54.44530111
202005,51.10259135
202006,54.62848961
202007,53.60231247
202008,51.23359701
202009,51.93380824
202010,50.08447227
202011,51.99968642
202012,54.52054133
202101,52.08550772
202102,51.93255569
202103,50.52091938
202104,51.08186395
202105,53.47782136
202106,56.42337156
202107,55.91608936
202108,55.34271036
202109,55.43347806
202110,53.3434383
202111,53.64986042
202112,53.20335131
