DATES,rEER
201612,97.35194024
201701,96.6654118
201702,94.92345159
201703,93.57464665
201704,93.86438578
201705,95.18711714
201706,95.75955772
201707,95.80259571
201708,96.34030468
201709,97.74902064
201710,97.64512573
201711,97.35489866
201712,97.85696522
201801,99.22921354
201802,101.490448
201803,100.5851581
201804,100.1816852
201805,99.85449088
201806,98.44590478
201807,96.857492
201808,96.43510483
201809,96.86450823
201810,97.27471909
201811,97.69968343
201812,97.31722836
201901,97.84384094
201902,97.99997249
201903,96.75965242
201904,96.66183364
201905,96.11744538
201906,96.31193846
201907,95.62175889
201908,96.56958394
201909,95.80961808
201910,96.56225364
201911,96.97529531
201912,96.51315863
202001,96.80458778
202002,97.70417649
202003,97.93211769
202004,93.63968277
202005,93.77700642
202006,96.93546698
202007,98.51765095
202008,101.3551991
202009,101.9109585
202010,103.4233025
202011,104.3932612
202012,106.2347994
202101,107.0245761
202102,108.0717317
202103,108.1592068
202104,108.5844777
202105,111.8637723
202106,115.4910107
202107,114.3283256
202108,117.2447092
202109,117.7053887
202110,114.8483948
202111,114.8216269
202112,114.2045136
