DATES,rEER
200511,103.1945762
200512,106.2655266
200601,102.8039938
200602,102.6036869
200603,102.1672805
200604,103.4988152
200605,101.2544151
200606,98.48654368
200607,98.40976816
200608,98.04379931
200609,98.05913365
200610,99.51269936
200611,98.85196453
200612,97.98206668
200701,96.54273223
200702,95.78284338
200703,95.94927105
200704,95.93113861
200705,97.57651085
200706,96.68900336
200707,97.45704914
200708,98.10808567
200709,98.55301112
200710,99.82625301
200711,97.60397407
200712,100.1604117
200801,102.938549
200802,105.4782755
200803,109.308685
200804,107.572569
200805,103.1184603
200806,98.47188019
200807,96.35502607
200808,96.20697482
200809,97.18669615
200810,89.17216465
200811,87.14540262
200812,86.20504506
200901,90.39892037
200902,93.89834581
200903,96.02046732
200904,95.22505088
200905,95.23453154
200906,95.75457354
200907,96.9722635
200908,94.05036568
200909,93.28529775
200910,92.38165773
200911,98.34287272
200912,100.0257093
201001,100.9118912
201002,96.57214978
201003,97.59538253
201004,98.04543244
201005,98.23879326
201006,98.16231771
201007,97.57144476
201008,100.773597
201009,102.8311381
201010,101.7957047
201011,102.4665014
201012,105.035647
201101,101.0927901
201102,103.2439378
201103,101.7375798
201104,101.8942272
201105,102.5889988
201106,101.8907216
201107,102.7665424
201108,102.0333413
201109,100.7096747
201110,96.06846366
201111,97.28224664
201112,97.21234277
201201,99.83929291
201202,102.7471193
201203,102.1174832
201204,102.1463595
201205,101.3656053
201206,100.5915104
201207,103.149455
201208,104.7604298
201209,105.1096841
201210,104.9647449
201211,103.968638
201212,104.1040982
201301,104.6651493
201302,104.6881999
201303,105.7917853
201304,105.1122516
201305,103.6877676
201306,99.98625497
201307,100.3969948
201308,98.8211279
201309,100.1007276
201310,99.76344163
201311,97.20085755
201312,95.98106137
201401,95.24416786
201402,92.73953196
201403,91.1506069
201404,92.49121322
201405,92.20755668
201406,92.88751024
201407,92.24714938
201408,89.77229686
201409,89.18214423
201410,91.66250825
201411,92.32005346
201412,90.49307993
201501,90.89093187
201502,91.71842655
201503,93.01428928
201504,94.93272539
201505,95.15574667
201506,92.61843505
201507,90.98854738
201508,87.96196089
201509,88.67605907
201510,89.19111081
201511,87.88500505
201512,88.84020858
201601,88.45398407
201602,90.1714397
201603,91.70855693
201604,91.79459276
201605,90.57267121
201606,91.22165206
201607,94.89159291
201608,93.92987162
201609,92.81454163
201610,94.04026716
201611,95.40090749
201612,96.45351824
201701,96.81476394
201702,98.78954482
201703,95.90917561
201704,96.19824122
201705,93.54582385
201706,93.46623465
201707,93.78416935
201708,94.65312761
201709,96.18853312
201710,96.98527284
