DATES,rEER
200511,112.529275
200512,113.5160054
200601,113.405636
200602,114.5949075
200603,112.1348517
200604,108.3449989
200605,106.8135894
200606,104.5552197
200607,107.970264
200608,109.430127
200609,109.7054914
200610,110.9437194
200611,110.600045
200612,110.308904
200701,110.3610512
200702,109.5703199
200703,107.7322189
200704,108.2974094
200705,109.4754122
200706,109.4686936
200707,109.5840803
200708,107.6054109
200709,107.1297447
200710,108.0511608
200711,106.447396
200712,106.7550229
200801,105.7084704
200802,106.6221947
200803,106.3173387
200804,108.3895157
200805,109.5589341
200806,110.7109722
200807,111.4302463
200808,115.1544105
200809,111.617923
200810,97.69399808
200811,95.83774304
200812,93.85036236
200901,90.6035969
200902,87.16180705
200903,86.63060825
200904,94.48581316
200905,95.55650437
200906,93.89848156
200907,93.88509214
200908,96.03442885
200909,92.83708484
200910,93.07029753
200911,93.49206813
200912,95.73486453
201001,97.04655548
201002,97.01026155
201003,100.1976185
201004,103.0400983
201005,100.7506068
201006,100.9978661
201007,99.26749704
201008,99.86726211
201009,98.53238123
201010,100.4911337
201011,101.6068715
201012,101.1918477
201101,102.8372701
201102,103.0555955
201103,102.8961852
201104,104.3001808
201105,105.0132842
201106,103.7273368
201107,104.7411886
201108,100.4016316
201109,95.369193
201110,92.15193697
201111,91.49999542
201112,91.55994456
201201,93.37331204
201202,97.84351423
201203,98.25371222
201204,95.96872495
201205,93.51803643
201206,91.76759715
201207,96.35676434
201208,97.51452865
201209,98.35767893
201210,99.20690632
201211,97.94862016
201212,99.39128491
201301,100.6089871
201302,100.7651542
201303,103.2362329
201304,106.7875415
201305,107.0766935
201306,101.3218521
201307,102.7056522
201308,102.025467
201309,100.1809845
201310,100.5322528
201311,100.6880363
201312,101.3214126
201401,100.7414966
201402,100.0625695
201403,100.4852659
201404,101.4459476
201405,102.4744951
201406,102.4253092
201407,102.7882385
201408,102.1519187
201409,102.6672865
201410,101.3766931
201411,101.6263991
201412,96.6934335
201501,95.9953672
201502,94.66618015
201503,93.8756868
201504,93.56891385
201505,92.86287122
201506,91.98193968
201507,90.04513641
201508,87.6268578
201509,86.44202397
201510,87.58241715
201511,87.92345903
201512,86.47679545
201601,82.48927694
201602,79.96461408
201603,82.7651543
201604,83.22099364
201605,80.85498353
201606,78.25834053
201607,78.92054796
201608,79.13797531
201609,76.72998246
201610,78.00386125
201611,74.81649553
201612,73.2137345
201701,70.86628523
201702,74.29573105
201703,78.58483986
201704,81.52141775
201705,81.65534665
201706,84.2948571
201707,85.74837065
201708,85.58273876
201709,85.15266635
201710,81.64582441
201711,80.81038573
201712,80.38646367
201801,79.88994424
201802,81.18886795
201803,81.30990589
201804,82.8243591
201805,78.88403615
201806,76.36038169
201807,81.91258756
201808,83.95417088
201809,83.24147075
201810,83.47865054
201811,79.08250284
201812,79.81831942
201901,83.3426441
201902,83.06100907
201903,83.07127709
201904,84.22198747
201905,84.46120468
201906,83.39096283
201907,84.3102187
201908,82.65767288
201909,82.83298812
201910,83.85941201
201911,84.21856136
201912,84.87350677
202001,86.33292449
202002,87.26992885
202003,75.20173245
202004,68.5071458
202005,71.15686774
202006,75.05100492
202007,74.03591497
202008,74.5326342
202009,76.49799965
202010,77.73233565
202011,80.20618311
202012,81.72377835
202101,82.13260669
202102,80.99265154
202103,79.58108522
202104,82.61608811
202105,82.60670991
202106,82.33585312
202107,83.13510816
202108,82.99551228
202109,83.49391246
202110,81.7539311
202111,80.76326021
202112,80.17858782
